Account,Display Name,Example Series Names,Pattern Types Matched,Occurrences,Distinct Posts
harvestmoonbrewery,Harvest Moon Brewery & Café - beer | brewery | cafe | food.,Day with an Award-Winning Brewer; DANGERBIRD - Happy 80th Birthday Neil Young!; New Year's Eve Party; National Irish Coffee Day; Closed Due to Weather,repeated branded name,89,13
njhric,NJHRIC at the NPL,Coquito Masters 2026; Limited Edition NJHRIC TEE; Limited Edition NJHRIC TOTE BAG,repeated branded name,88,11
thecafenj,The Cultural Collective Café,CAFÉ AFTER DARK; WORK & SIP THURSDAYS; CAFE AFTER DARK; Cafe Winter Hours; Work & Sip Thursdays,"day-of-week plural, repeated branded name",88,26
eliz.life.style,Eliz_Life_Style | Digital Creator,CELEBRATE EVERY MOM WITH SHEIN!; Live Music; Wine Tasting; SHEIN's Global Winter Sale; Celebrate Every Mom with SHEIN!,"recurrence keyword, repeated branded name",88,9
sohobokengroup,SOHOBOKEN GROUP,HOHOHOBOKEN,repeated branded name,88,1
tonewithjazz,Jazz 💕✨,Pilates Unwind & Align,repeated branded name,88,1
seafood.kitchen,SEAFOOD.KITCHEN,SOUL FOOD SUNDAYS; Soul Food Sundays,day-of-week plural,88,10
reallivvthedon,Livv 🎀,LADIES PINK TURN UP Before Christmas Party,repeated branded name,88,1
agape_ministries_inc,Agape Ministries inc.,H.E.R. Retreat; Women’s Day Service; H.E.R. Women’s Day Service,repeated branded name,87,5
quanplaymaker,quanplaymaker,HIBACHI FRIDAYS; The Grand Finale Party; The Appreciation Brunch; Karaoke; The Academy Grand Opening,"day-of-week plural, repeated branded name",86,9
trenton_365,Jacque Howard,No trash pickup; Christmas Tree Collection; Meet & Greet; Happy Hour Meet & Greet; Emanuel Casablanca Live,repeated branded name,86,13
epicballoonsandmorellc,Sayi and Edward,Joyvina’s Fairy First Birthday; K-PoP Demon Hunters Birthday Celebration; New Year's Celebration; Ishika's Big One; Wedding Anniversary Celebration for Mr. & Mrs. Escobar,repeated branded name,86,5
shotbypm,,Christmas Set; Black Friday Sale 2025; Christmas Set 2025 Black Set - Option 1; Studio Rental For All Sets; Photoshoot Appointment Bonus,repeated branded name,86,4
adorianfornewark,A’Dorian Murray-Thomas,"Hands that Serve, Hearts that Shine — spotlighting the impact of volunteers and leaders in Essex County; Runoff Elections; Murray Merry Christmas and a Happy New Year!",repeated branded name,86,5
njsocialclub_,NJ Social Club,PICKLEBALL & PIZZA; Ugly Christmas Sweater Party; Indoor Golf; Pickleball & Pizza,repeated branded name,85,7
sjhookahlounge,SJ Hookah Lounge,DJ Scoota Presents; DRUNK AS FUCK; Pajama Night; New Year's Eve Celebration,repeated branded name,85,8
keynote__,🎵KeyNote 🖊️,OUTCRY THE SLAM; Outcry The Slam,repeated branded name,85,11
theslcreatives,SL ✰,Project Becoming,repeated branded name,85,8
wizdancealot,Wizdom 🤟🏾💯🔥,Open Level Jersey Club; Hip Hop Class; Heels Class,repeated branded name,84,1
laurenzilla,Lauren,Jersey City Holiday Crawl; Glizzmas 2025 Fundraiser Event; Punk Rock Holiday Market; Wreck The Halls Emo Holiday Party,repeated branded name,83,3
mgg_ques,The Most Magnificent ΜΓΓ Ques⚡️,3RD THURSDAYS: THE BLACKOUT; A Que Christmas Night Out: Ugly Sweater Party; Pretty Girls Wear Pearls (P&G) Celebration of 118 Years of Service; The Blackout,"day-of-week plural, repeated branded name",83,20
maddi_grafton,Maddi,NOAHS AFTER DARK; PENTHOUSE MADNESS; Slizzy Night Out,repeated branded name,83,6
gloriasbarandgrill,Gloria’s Bar & Grill,WEEKLY EVENTS; WEEKLY SPECIALS & EVENTS; THEMED NIGHTS; DON THURSDAYS; LOS THURSDAYS,"day-of-week plural, recurrence keyword, repeated branded name",83,17
madeinvietnam__,Amber Le,Marlon Wayans Comedy Show,repeated branded name,82,2
dr_dray_do,Annabel N Yuen,Visit Ausable Chasm; Dog sledding excursion; Visit Notre-Dame Basilica; Christmas Day at St. Catherine’s basilica; Lunar New Year,repeated branded name,82,4
getyourshtoff,Get Your Sh*t Off: Open Mic 🎤,Open Mic; Get Your Sh*t Off Open Mic Night,repeated branded name,82,9
thegirlwithagrill,Girl With A Grill,OPENING SEASON CATERING; WEEKLY LUNCHES FOR YOUR STAFF CATERING; New Year's Eve Catering Orders; Deadline for New Year's Eve Catering Orders; Pay What You Can Family Event,"recurrence keyword, repeated branded name",82,25
la.chulanj,LA CHULA • LATIN FUSION,R&B THURSDAYS; Unlimited Tuesdays; R&B Thursdays,"day-of-week plural, repeated branded name",81,15
threeheadedgoats_,3HeadedGoats,THREE HEADED GOATS PRESENTS; Sing It Like You Wrote It : Friends Giving Edition; Sing It Like You Wrote It : MLK Weekend Edition,repeated branded name,80,5
platinumwalls,ANGELA CLEMONS,WOW WEDNESDAYS - LOBSTER WEDNESDAYS; WOW WEDNESDAYS; SOPHISTICATED SATURDAYS; FIVE DOLLAR WEDNESDAYS; Wow Wednesdays - Lobster Wednesdays,"day-of-week plural, repeated branded name",80,14
mikewillrun,mike will run 🏃🏾‍♂️,CIVIL RIGHTS RACE SERIES: SELMA TO; Partner Workout; Recovery Run; TURF GROUP TRAIL RUN; MLH DAY SK DRUM RUN,"recurrence keyword, repeated branded name",80,3
blackbearhoboken,Black Bear Hoboken,New Year's Eve Party; NYE Party; NYE 2026; NYE,repeated branded name,80,5
adultplayhouse_nj,,Adult Playhouse; Madden Tournament; 2K Tournament; Spades Tournament,repeated branded name,80,1
cosechanj,Cosecha New Jersey,"NJ Rapid Response: If You See ICE, Call Us.; Know Your Rights; Resistencia en Acción; El Pueblo Unido; Organize with Cosecha New Jersey, DIRE & New Labor",repeated branded name,80,1
madeinmiami.nj,MADE IN MIAMI BAR & BISTRO,TACO TUESDAY; FRIDAY NIGHTS; R&B BRUNCH SATURDAYS; Taco Tuesday; Friday Nights,"day-of-week plural, recurrence keyword, repeated branded name",80,29
richie_lopez,BEARDED_PAPI,NYE; Thirsty Thursday; Join the Real Live Team; Birthday Celebrations for @djkresbeatz.ko; LVS REAL I L!VE TAKEOVER THURSDAYS,"day-of-week plural, repeated branded name",79,15
dottiesnyc,Dotties NYC,A SUPPER OF SHARED TIDES; Beyond Chef Creations; Honey; The Supper Club; Additional Services by Dottie's NYC,repeated branded name,79,8
seanthomasusa,Sean Thomas,KARAOKE THURSDAYS; Pop Punk Holiday Show; Alibis; Blue highway; Karaoke Thursdays,"day-of-week plural, repeated branded name",79,19
blessedsc_,Blsd Street Club™,NEW JERSEY CAR MEET; SHOP SEASON CLOSER CAR MEET; SEASON CLOSER CAR MEET; New Jersey Car Meet,"recurrence keyword, repeated branded name",79,8
uyum.scents,Handmade Candles & Custom Party Favors,Holiday Market at Lackawanna Station; Holiday Market at 902 Brewing Co.,repeated branded name,79,5
vybzlyve_nj,Vybz Lyve,Caribbean Winter Vybz,repeated branded name,78,5
iamcharlesjewell,Chuck MrHefner Jewell,KARAOKE NIGHT; KARAOKE - MIC DROP TUESDAYS; Ashley Piercy's Birthday; Taste Taste; Christmas lunch,"day-of-week plural, repeated branded name",78,16
shortyvstiny,Nova 💕,GALENTINES: THE FAIRIES EDITION; STATE NIGHT @ PRIME SATURDAYS; Fine Shyt & Bottles; State Night @ Prime Saturdays,"day-of-week plural, repeated branded name",77,7
bestofnj,Best Of New Jersey,"GAME NIGHTS; DJ LATE NIGHTS; LIVE MUSIC NIGHTS; SEASONAL COCKTAIL NIGHTS; Live Shows With Local Soul (Comedy, Live Music, DJ Late Nights)","recurrence keyword, repeated branded name",76,10
justfishnj,JUST FISH BAR & GRILL 🐟,KARAOKE THURSDAYS; FRIED FISH FRIDAYS; RNB FRIDAYS; HAPPY HOUR; KARAOKE NIGHT,"day-of-week plural, repeated branded name",76,23
syphdigg_bricknine,Simmy Gordon,Bed Time Stories Turkey Day Food Drive; 2025 Public Safety Press Conference,repeated branded name,76,2
saynetworkllc,SAY NETWORK LLC,Community Pop-Up Food Drive; Affirmation,repeated branded name,76,2
heatherbee1987,Heather Nelson-Rouse,R&B FRIDAYS; Ugly Sweater Brunch; AMIRI Jumpoff; R&B Fridays,"day-of-week plural, repeated branded name",76,11
centraljerzey,,Thanksgiving Day Stabbing; Arrest of Jaden Thompson; Christmas Toy Drive,repeated branded name,75,8
biggroove,Clive Ibizugbe,Food Tour,repeated branded name,75,9
climatemuseum,The Climate Museum,PATHWAYSTOCLIMATE SERIES; BROADWAY CELEBRATES EARTH DAY CONCERT; Write about climate change; Resonating Earth; Day of Truth and Freedom,"recurrence keyword, repeated branded name",75,20
diegogordon,,Creative Photo Walk; STANLEY CUP CHAMPIONS,repeated branded name,75,4
djneptune973,NEPTUNEONTHEBEATITSLITT,NEPDAY; 30 FOR 30; R&B Mondays,"day-of-week plural, repeated branded name",74,4
abstractandaligned,Lindsey • Artist,Red Dot Fundraiser show opening; Red Dot Fundraiser,repeated branded name,74,3
buildabaddie.world,BUILD-A-BADDIE WORLD,Build-A-Baddie World,repeated branded name,74,9
truly_rachel,Rachel Tomlinson,THE FUTURE OF CREATIVES IN TECHNOLOGY PANEL & NETWORKING EVENT; Live; Career Panel,repeated branded name,74,17
reforumconsulting,"ReForum Consulting, LLC",Level Up NYC Holiday Soirée; Level Up Mixer; Level Up Playlist; Level Up in NYC Holiday Soiree and Mixer,repeated branded name,74,3
ovptr_newark,Office of Violence Prevention and Trauma Recovery,STRONGER TOGETHER SATURDAYS! - A YOUTH CALL TO ACTION; STATE OF EMERGENCY: ANTI-VIOLENCE TOUR; STRONGER TOGETHER SATURDAYS! A Youth Call to Action; STRONGER TOGETHER SATURDAYS! - A Youth Call to Action,"day-of-week plural, repeated branded name",73,5
jailynnmusic,Jai Lynn,Forever Up Release,repeated branded name,73,5
iambjthedj,Bj Gilliard,Capricorn Takeover BDAY Bash; Red & White affair x-MAS edition; Happy Hour,repeated branded name,72,2
metrophotobus,𝙈𝙀𝙏𝙍𝙊 𝙋𝙃𝙊𝙏𝙊 𝘽𝙐𝙎,Historic Downtown Jersey City Holiday Handmade Market,repeated branded name,72,1
blackasscomedy,Black Ass Comedy Show,BLACK ASS COMEDY SHOW; Laughing with the Homies (for Black men); Laughing with the Homies (for parents),repeated branded name,72,22
breeseyeview,NJ Photographer 👸🏾👁🏞,Strawberry Moon Viewing; Blue Moon in Taurus on Halloween; Full Moon in Scorpio; Moon enters Sagittarius,repeated branded name,72,3
thecurlrecipe,"♡ Vegan Haircare for Curly, Coily + Textured Hair",New Products Drop; New Product Launch; New Products Launch,repeated branded name,72,3
vibeandplaythursdays,VIBE & PLAY THURS,"Good food, good vibes, games, and nonstop energy; FEAST AND PLAY FRIENDSGIVING EDITION; Vibes & Play Thursdays","day-of-week plural, repeated branded name",72,2
iamdjfrankwhite,FRANK WHITE THE 🐐 OF NJ,DJFW WEEK & END THURSDAYS; DJFW WEEK & END FRIDAYS; DJFW WEEK & END SUNDAYS; DJFW Week & End Thursdays; DJFW Week & End Fridays,day-of-week plural,72,5
apianindustry,APIAN,Hive & Harmony: Edible Art Exhibit; Hive & Harmony: Soap Making Edition; Edible Art Exhibit!,repeated branded name,72,2
cultr.cultr,Cultr,LAPTOPS & LATTES; CULTR NIGHTS AT KEEPERS; SUNDAYS AFTER DARK: NATIONAL MARGARITA DAY PARTY; SUNDAYS AFTER DARK - MARGARITA DAY; SUNDAYS AFTER DARK - NATIONAL MARGARITA DAY CELEBRATION,"day-of-week plural, recurrence keyword, repeated branded name",71,23
keishaapproved,KEISHA RENÈE | LIFESTYLE & TRAVEL CREATOR,"LIVE MUSIC ON FRIDAY NIGHTS; Love Me, Some Me; Live Music on Friday Nights","recurrence keyword, repeated branded name",71,25
l1nk215,Link Mine Frame,APL 7; FIRST FRIDAYS POETRY CLUB FEATURE; FIRST FRIDAYS POETRY CLUB PERFORMANCE; FIRST FRIDAYS POETRY CLUB; Apex first poetry slam PencilMania,"day-of-week plural, repeated branded name",70,20
skillit_cafe,@SKILLIT_CAFE,Closed for New Year's Day; Reopen after New Year's Day; Red Velvet Waffle with Chicken; Red Velvet Waffle without Chicken; Interviews,repeated branded name,70,3
nettiesnj,NETTIES,TURKEY WING THURSDAYS; FINESSE THE MIC; FISH FRY FRIDAYS; Turkey Wing Thursdays; Fish Fry Fridays,"day-of-week plural, repeated branded name",70,36
realestatedoru,Nasar El Arabi | investor,Lambo.com court decision; How to break in the real estate game; Donald Trump Davos Speech,repeated branded name,70,6
loplifestyle,Love on Purpose Lifestyle,New Year Merch Discount,repeated branded name,70,1
dario_valli,Dario Valli,Me playing calling; Milly rocking on the Jumbotron; Playing,repeated branded name,70,1
jerseycitycabaret,The Jersey City Cabaret,The Holiday Show; It Feels Like Christmas; Jersey City Cabaret: The Holiday Show; JERSEY CITY CABARET: DUETS & LOVE SONGS,repeated branded name,70,6
saangaminglounge,Saan Lounge,"New Year 2026; After Work Chill Session; New Year Celebration; Free to Chill, Pay to Play Wednesdays","day-of-week plural, repeated branded name",70,6
afroheat_a,AfroHeat Alliance 🚀,A NIGHT IN BALTIMORE 2; A Night in Jersey; A Night in Baltimore 2,repeated branded name,70,10
sydneyjulia.travels,"SYDNEY | LIFESTYLE, WELLNESS & TRAVEL",Festive Drinks and Bites at The Living Room; Cowboy Carter Tour,repeated branded name,70,13
brunch.afterdark,B.A.D  NJ,BRUNCH AFTER DARK: TAURUS SEASON; Friendsmas PJ/Ugly Sweater Party; Brunch After Dark: Taurus Season,"recurrence keyword, repeated branded name",69,9
jbaar_npl,JBAAR // Newark Public Library,"9th Annual Kwanzaa Celebration; Kwanzaa activities for Kids and Families with STEAM URBAN; Special candle lighting ceremony, reception & special Kwanzaa Concert; 2026 Dr. Martin Luther King Jr Commemorative Lecture; A conversation with Rain Pryor",repeated branded name,68,5
goldpoet22,The Healer ☀️,CAVE NIGHTS: HER - UNAPLOGETICALLY EDITION; WHEN VOICES CAROL; When Voices Carol A CAVENIGHT & PARTY SHOWCASE+OPEN MIC,"recurrence keyword, repeated branded name",68,5
thomas_johnathan,Tommy,TOMMY CON 8.0,repeated branded name,68,3
trenddddsetterrr,,609 vs 856: BOTTLE WARS; North Jersey vs South Jersey: Bottle Wars NYE Bash,repeated branded name,68,3
aantrenton,Art All Night - Trenton,Trenaissance 2025,repeated branded name,68,4
shopfabled,FABLED,Muslim Heritage Month Festival,repeated branded name,68,2
sceneandheardjerseyshore,SCENE & HEARD Jersey Shore,IRON & RESIN; Bruce Springsteen Concert; DJ Santello,repeated branded name,68,12
jerry__alexandre,Jerry Alexandre | Photographer,"Christmas Photoshoot; Joe Dwet File — USA Tour, NYC; Newark Caribbean Festival",repeated branded name,67,7
traveling.sista.circle.society,Traveling Sista Circle Society,Babes & Beards All Black Masquerade Ball,repeated branded name,67,4
sliceofculture,Slice of Culture,Walk 'N' Run Club with Hoboken Homeless Shelter food donation; EO Run Club with Hoboken Homeless Shelter food donation,repeated branded name,66,2
room990barandlounge,ROOM990 BAR & LOUNGE,BOTTLE WAR FRIDAYS; BOTTLE WARS FRIDAYS; WEDNESDAYS AFTER WORK RNB PARTY; WEDNESDAYS AFTER WORK; Bottle Wars Fridays,day-of-week plural,66,16
thelarklounge,THE LARK LOUNGE,DIME PIECE SATURDAYS; DIME PIECE SATURDAYS: SPRING FLING; Dime Piece Saturdays: Spring Fling,day-of-week plural,66,21
belmargrass,Belmar Grass,Bluegrass Brunch; BELMAR GRASS,repeated branded name,66,5
bounce2bounce_,BOUNCE2BOUNCE,Techno Fever; Black Friday Party,repeated branded name,66,4
davidrsang,David RSang,Holly Jolly Market; The Burners,repeated branded name,66,3
ilovernbvibes,I Love R&B Vibes,I LOVE R&B VIBES AFTERWORK; R&B THURSDAYS; I LOVE R&B VIBES - R&B THURSDAYS; R&B THURSDAYS AFTERWORK; R&B VIBES THURSDAYS,"day-of-week plural, repeated branded name",65,18
ayogioo_,G.I.H.F 🎱,Power Outage: The Black Friday Party; Friday After Christmas; GIO'S OFFICIAL BIRTHDAY BASH,repeated branded name,65,5
qu_thedj,Quantay Cabbell,DJ Battle Champion; Khalif Drake SUPRISE 80/90'S BIRTHDAY BASH THEME,repeated branded name,65,4
sswavyo,SSWAVYO,The Last Saturday; The Biggest Christmas-Party in New Jersey; Slizzy Night Out,repeated branded name,65,11
skatingmomma,Ms Tracy,Family Skate,repeated branded name,64,2
cornbreadsoul,Cornbread,CONVERSATIONS OVER CORNBREAD SEASON TWO PREMIERE; Conversations Over Cornbread interview with Shanique T; Christmas Day Operating Hours,"recurrence keyword, repeated branded name",64,7
shanemeh_,Shane,THE DOME SEASON OPENER; Last Call Scripted Closer (Part 1); The Dome Season Opener,"recurrence keyword, repeated branded name",64,2
heyykuu,Wednesday,Brunch; Trini Ku at Caribbean Music Awards; Caribbean Music Awards Airs,repeated branded name,64,2
yelpnewjersey,Yelp New Jersey,Workshop; Yelp Elite Event,repeated branded name,64,1
eneji.us,Enèji🕯,Fritay Night & Cocktails; Enèji Vibes; Una noche en Enèji,repeated branded name,64,3
jamaalgreencreative,Jamaal Green,Pepper at Reggae Rise Up Oregon; Reggae Rise Up Oregon; Jah Works at Lionheart Music Festival,repeated branded name,64,3
nicoosomusic,Nick “NICO OSO” Caceres,Backseat Remixes Release,repeated branded name,64,1
roxeyballet,Roxey Ballet,"Nutcracker Wine Purchase (Sugar Plum Red, Dew Drop Blush, Snow Queen White); Nutcracker Wine Purchase",repeated branded name,64,2
alyxdoran,Alyx ☆,Build a baddie part 2,repeated branded name,64,1
mrcommodore,Tyhem Commodore,Official Birthday Party; Official Birthday Celebration,repeated branded name,64,2
avaprestonmusic,Ava Preston,MONTH OF LOVE CONCERT SERIES; Ava Preston at Brvsh Cul7ur3; Jam Session; Month of Love: Heartstrings & Harmony Edition,"recurrence keyword, repeated branded name",63,3
signednik,Nicole C.F.,Meetings On The Mat; Aunt Sabrina's 60th Birthday Celebration; The Residency,repeated branded name,63,5
dj1upnyc,Aaron Wayne🇧🇧 ; 🔊 Dj 1-Up 🔊,Off The Clock $2 Tuesdays; Off the Clock Tuesdays; Off the Clock: Trivia Night Edition; Off The Clock Tuesdays,"day-of-week plural, repeated branded name",63,15
urban_ag_coop,Urban Agriculture Cooperative,Operation Giveback 2025 Volunteer Shift; Operation Giveback 2025 Volunteer to Pack Produce for Newark Families,repeated branded name,63,2
thelondynrogers,Londyn Rogers,Christmas Pjs Arts Event; Youth Open Mic - Holiday Pajama Party,repeated branded name,63,2
dannyphamphotography,Danny Pham,Abby & Russell Rehearsals Dinner,repeated branded name,62,1
liqor_,LIQÖR Atelier,Liqör Atelier at Sole Garden pop-up; LIQÖR Atelier Presents The Spill,repeated branded name,62,1
runninghelps.us,RunningHelps.Us,5k Fridge Run; 5k fridge run,repeated branded name,62,1
bsr_photographer,bsr_photographer,$cripted Season Closer,"recurrence keyword, repeated branded name",62,1
getwit.tizz,,End of the Semester Party: William Paterson vs MSU; Willy P vs MSU Biggest End of Semester Party,repeated branded name,62,1
mutualemotions,Mutual Emotions,NY State Hoodie Release,repeated branded name,62,1
imalreadyher_,NJ social club for the girlies 🫶🏽,"December Book of the Month: Good Vibes, Good Life; January Book of the Month: Atomic Habits by James Clear",repeated branded name,62,14
trp.nj,Team RebirthPromotion🕺🏾,BIGGEST END OF SEMESTER party; BIGGEST END OF THE SEMESTER Panty,repeated branded name,62,1
bchtrenton,Better Community Housing Trenton   formerly (Martin House),Bi-Monthly Housing Meeting,repeated branded name,62,1
fujibird_design,"Feiyi, also known as fujibird","Aminah Robinson: Journeys Home, A Visual Memoir",repeated branded name,62,1
dj_ayssa_altiere,Alyssa,Daylite daytime event series,"recurrence keyword, repeated branded name",62,1
nj_native_photo,Jeffrey Elkashab,COMMUNITY DAY,repeated branded name,62,1
1djmin,THE BIGGEST,Sing It Like You Wrote It : Friends Giving Edition; Sing It Like You Wrote It Friendrgiving Edition,repeated branded name,62,1
judexmrgoodlife,"🇭🇹Judex ""Mr. Good Life"" Ent.🇭🇹",The Elite Gala 2025,repeated branded name,62,1
universelesstraveledmusic,U.L.T.R.A. S,original electric jazz,repeated branded name,62,1
carterproductionsllc,CARTER PRODUCTIONS,THE OFFICIAL SILENT PARTY; Official Silent Party,repeated branded name,62,1
steamyentertainmentnj,Steamy Entertainment NJ,Rave Saturday,repeated branded name,62,1
aymamafiestas,AY MAMA !,AYMAMA PERREO IN NEWARK: BICHOTA GIVING,repeated branded name,62,1
bailalosaturdays,Bailalo Saturdays,Báilalo Saturdays; Sagittarius Season Kickoff,"day-of-week plural, recurrence keyword, repeated branded name",62,1
rnbtuesdays_,,R&B Tuesdays vibes,"day-of-week plural, repeated branded name",62,1
fabyoulife,Fabyoulife | Easy Skincare | Body Butters & Oils,Small Business Saturday Pop-Up; Small Business Saturday Pop-up,repeated branded name,62,1
totaldudeguy,Victor Soldano,The most popular event by far in our repertoire; Murder & Mystery,repeated branded name,62,1
desi.linn,The.rawest ♛,Jersey Turn Up; COMMA CRAZY FRIDAYS,"day-of-week plural, repeated branded name",62,1
aneclothier,ANĒ CLOTHIER,Newark Vs Everybody Hometown Celebration,repeated branded name,62,1
swahilivillagenj,Swahili Village - Newark NJ,AMAPIANO WEDNESDAYS; R&B WEDNESDAYS; BRUNCH & SWAHILI SUNDAYS; AMAPIANO THURSDAYS; Floor Manager Hiring,"day-of-week plural, repeated branded name",62,10
vmp1re_ana_,,White Christmas: Naught or Nice Party,repeated branded name,62,1
getdowndjgroup,Get Down DJs,Neyo Guest Appearance; Ne-Yo Guest Appearance,repeated branded name,62,1
soko,Eric Sokolosky,Wedding Celebration; wedding,repeated branded name,62,1
project_gen.z_,Project Gen.Z,Atlantic County biggest teen party EVER; Winter Break Party,repeated branded name,62,1
2hot_bbykay,Kayluhh 🖤,BIGGEST END OF THE SEMESTER PARTY IN JERSEY,repeated branded name,62,1
packer,Packer,RUNSGIVING 5k run; RUNSGIVING,repeated branded name,62,1
versatile_ent,Versatile Arts & Entertainment,Creator Picnic,repeated branded name,62,1
redhotchilijam,Red Hot Chili Jam - NJ Tribute Band,Red Hot Chili Jam - MTV Unplugged Set; Red Hot Chili Peppers Tribute UNPLUGGED,repeated branded name,62,1
withintentionllc,With Intention LLC,Hurricane Melissa Relief for Jamaica; Hurricane Melissa Disaster Relief Fundraiser,repeated branded name,62,1
kil_alphas,ΑΦΑ - KIΛ Chapter,"PHAMS Giving Food Drive; 52 years of uplifting our community, strengthening the bond of Alpha, and advancing the aims of Alpha Phi Alpha Fraternity, Inc.; Malcolm Bernard HBCU College Fair 2025",repeated branded name,62,9
justn.official,Justin,Daylite Jersey event,repeated branded name,62,1
kiievents_,Kii,End of the Semester Party William Paterson vs MSU; BIGGEST END OF THE SEMESTER PARTY WILLIAM PATERSON vs MSU,repeated branded name,62,1
reddryan,𝓡𝓮𝓭𝓭 𝓡𝔂𝓪𝓷🎈,YNVSCEOSHampoo's Birthday Celebration; YNVS CEO Shampoo's Birthday Celebration,repeated branded name,62,1
aulospa,Aulo,AULO HOLIDAY MIXER; Lovelee Wine Tasting; Aulo Summer; day at Aulo,repeated branded name,61,12
njcrc,New Jersey Central Run Club,"The Big Turkey Half Marathon, 10k, 5k; NJCRC Group Run",repeated branded name,61,4
sanfetti,FUGAZI,Solo Exhibit; Opening reception; FUGAZI SOLO EXHIBITION; opening reception,repeated branded name,60,2
thisisabout_us,AMARIS COLLAZO,NEW SEASON LAUNCH; New Season Launch,recurrence keyword,60,6
braheem1k,Blaze🃏,FLAMERZ : MEEK NIGHT; Friday After New Years Party; A Night in Jersey,repeated branded name,60,7
thehivebarnj,THE HIVE BAR & BISTRO 🐝,TACO TUESDAY; WEEKLY FOOD SPECIALS; WEEKLY SPECIALS: GARLIC SHRIMP CROSTINI; WEEKLY SPECIALS: SPANISH-STYLE WHITE; WEEKLY SPECIALS: MEATLOAF SLIDERS,"recurrence keyword, repeated branded name",60,13
lmnopismusic,LMNOP,JAZZ THURSDAYS; LIVE MUSIC FRIDAYS; 50th Birthday Celebration; Jazz Thursdays; Live Music Fridays,"day-of-week plural, repeated branded name",60,12
curljunkiee,Dani K.,Denim N Rhythm; DENIM N RHYTHM,repeated branded name,60,2
anygivensundaysnj,Anygiven Sunday,Annual Turkey Giveaway; Christmas Toy Drive,repeated branded name,60,2
boryproduction,BORY,LA FRUTA & LA INSUPERABLE; UGLY CHRISTMAS SWEATER PARTY pero con PERREO SEXY incluido! FRESEOLANDIA Ugly Christmas Sweater Party EDITION; WILD'N OUT THURSDAY,repeated branded name,60,3
tipsytacotuesday.nj,Tipsy Tuesday 🥂,TIPSY TACO TUESDAYS; Tipsy Taco Tuesday; Happy Hour; Tipsy Taco Tuesdays,"day-of-week plural, repeated branded name",59,8
negrosamericanos,Negros Americanos,SWEET TUESDAYS POETIC FLOETRY; #Foreverwerolling; Death of Haitian Man in ICE Custody; Sweet Tuesdays Poetic Floetry,"day-of-week plural, repeated branded name",59,10
nassans_place,Nassan's Place,Nassan’s Place Annual Holiday Celebration for Children & Families Affected by Autism,repeated branded name,58,4
paintme_sd,Paint Me San Diego ™️,Paint & Sip; Valentine's Day Sip & Paint with Live Music,repeated branded name,58,18
bks.nj,BEST KEPT SECRET,SO ANXIOUS,repeated branded name,58,23
cozycurations_,Cozy Curations,Cozy Open Mic; Cozy Slams; Cozy Keys Open Mic,repeated branded name,58,4
mezmorell,𝐁𝐑𝐈𝐄𝐋𝐋𝐄 𝐋𝐀𝐔𝐑𝐄𝐍,Black Pop Party,repeated branded name,58,2
kilsoevents,The Real Party Experience 🥂,The Last Saturday: The Final Party Of The Year; The New Years Party You've Only Dreamt About - PROJECT NYE; HATE BEIN' SOBER Official Capricorn Bash; HATE BEIN SOBER Official Cap Bash,repeated branded name,57,5
jerseyyjoe,JOE,LIVE MUSIC THURSDAYS; Live Music Thursdays,day-of-week plural,57,9
tino_pandache,Faustino Youry Pandache,Mon Terroir Exposition Photographie; PAPJAZZ Festival; TERROIR,repeated branded name,57,8
jcpofest,JerseyCityPoetryFestival,The Cozy Mic; Cozy Keys; JCPOFEST,repeated branded name,56,1
thereleaseopenmic,The Release Open Mic Showcase,The Blackout Edition; THE RELEASE Open Mic featuring KIRA J,repeated branded name,56,6
vaultsundays,Vault Sundays,Vault Sundays NJ's #1 Sunday Night Party; Brunch,"day-of-week plural, repeated branded name",56,1
capturednj,CapturedNJ Photography,Neyo; Neyo Performance,repeated branded name,56,2
jerseycreatorsclub,“JERSEY CREATORS CLUB”,An Exclusive Members-Only Creative Speakeasy; Invite Only New Year Celebration; Club 26: An Elevated Live R&B Experience; Club 26; Jersey Creators Club,repeated branded name,56,4
petshopjc,PET SHOP,HAPPY HOUR; MOVIE TUESDAYS; Happy Hour; Movie Tuesdays,"day-of-week plural, repeated branded name",56,8
creektocanalcreativedistrict,C2C Creative District,Trenton Creatives Artist Spotlight Show: Photography Edition; Trenton Creatives Artist Spotlight Show Photography Edition,repeated branded name,56,4
gorgeous_goat,Maria & Matt | goat dairy & creamery,Goats & Cocoa,repeated branded name,56,1
electrosol.nj,ELECTROSOL,Friendsgiving event; Winter Soulstice,repeated branded name,56,4
djpriincecannon___,DJ PriinceCannon,Weirdo Wednesday; Aquarius Bash; R&B THURSDAYS,"day-of-week plural, repeated branded name",56,3
myrepuplic1804,Myrepuplic1804,Celebrating 222 Years of Haitian Independence; CELEBRATING 222 YEARS OF HAITIAN INDEPENDENCE; MYREPUBLIC 1804: CELEBRATING 222 YEARS OF HAITIAN INDEPENDENCE,repeated branded name,56,4
tko.era,TAKEOVER THE ERA 🏴‍☠️,Game & Paint: Pajama Edition; Last Friday; REP YOUR FLAG,repeated branded name,56,4
givingonetenthgarden,GivingOneTenth,VOLUNTEER SATURDAYS; Volunteer artist to add flowers to shed; Volunteer Saturdays,"day-of-week plural, repeated branded name",55,13
